Date,Post commentary,Likes,Comments,Reposts,Impressions,Post URL,Post type
2026-01-06,"3 PR mistakes that quietly kill your launch:

1. Pitching journalists you've never read
2. Sending the release before the story is ready
3. Treating coverage as the goal, not the start

Fix these and your next launch lands twice as hard.",412,68,54,18420,https://www.linkedin.com/feed/update/urn:li:activity:1,text
2026-01-09,"I spent 10 years pitching the wrong way.

Then a journalist told me: ""I don't want a press release, I want a reason to care.""

Everything changed.",890,142,121,32100,https://www.linkedin.com/feed/update/urn:li:activity:2,text
2026-01-12,"The best PR strategy in 2026? Stop sounding like PR.

Founders who write like humans get 5x the coverage.",233,21,18,9410,https://www.linkedin.com/feed/update/urn:li:activity:3,text
2026-01-15,"Quick update on the Viva PR rebrand. New site goes live next week. Here's a sneak peek of the homepage.",78,12,4,4200,https://www.linkedin.com/feed/update/urn:li:activity:4,image
2026-01-18,"Why your founder story isn't landing:

- It's about the company, not the change you're making
- It has too many caveats
- It hides the conflict

Stories work when something is at stake.",512,96,71,21300,https://www.linkedin.com/feed/update/urn:li:activity:5,text
2026-01-21,"Honest take: most ""thought leadership"" on LinkedIn is recycled advice with a confident voice. The bar is on the floor.",1240,287,194,52800,https://www.linkedin.com/feed/update/urn:li:activity:6,text
2026-01-24,"5 underrated PR tactics for SaaS founders:

1. Trade-press first, tier-1 later
2. Pitch the trend, not the product
3. Quote your customers, not yourself
4. Build a media list of 30, not 300
5. Reply to every journalist email within 2 hours

Steal these.",398,52,67,14900,https://www.linkedin.com/feed/update/urn:li:activity:7,text
2026-01-27,"Hot take: paid PR retainers should be illegal until the agency has proven results in your sector. There, I said it.",980,201,143,41200,https://www.linkedin.com/feed/update/urn:li:activity:8,text
2026-01-30,"Anyone else find LinkedIn polls a bit performative? Or is it just me?",65,42,3,5100,https://www.linkedin.com/feed/update/urn:li:activity:9,text
2026-02-02,"How we got our client featured in TechCrunch in 11 days:

- Spotted a trend in funding data
- Wrote a 3-line pitch tying our client to it
- Sent it Tuesday 8:47am
- Followed up once

That's it. No release. No phone call.",1102,234,289,48700,https://www.linkedin.com/feed/update/urn:li:activity:10,text
2026-02-05,"Founder storytelling masterclass: stop opening with ""we are excited to announce"". Start with the problem you couldn't sleep over.",645,118,94,26800,https://www.linkedin.com/feed/update/urn:li:activity:11,text
2026-02-08,"New blog post on our approach to media relations. Link in comments.",54,7,2,3100,https://www.linkedin.com/feed/update/urn:li:activity:12,text
2026-02-11,"Why most PR campaigns fail before they start:

The brief is too vague.

""We want more coverage"" is not a campaign. ""We want to own the narrative on AI safety in fintech by Q3"" is.

Specificity wins.",487,73,82,19200,https://www.linkedin.com/feed/update/urn:li:activity:13,text
2026-02-14,"Saturday thought: PR isn't about being heard. It's about being remembered.",312,45,38,11800,https://www.linkedin.com/feed/update/urn:li:activity:14,text
2026-02-17,"7 things journalists wish founders knew:

1. Your launch isn't news to them
2. Embargoes are sacred — break one, you're done
3. They get 200+ pitches a day
4. Subject lines decide everything
5. Exclusive > broad blast
6. Data > adjectives
7. They have 20 mins, not 2 hours

Print this out.",1540,312,421,62400,https://www.linkedin.com/feed/update/urn:li:activity:15,text
2026-02-20,"Behind the scenes at the Viva PR offsite this week. Great to see the team in person.",92,18,5,4800,https://www.linkedin.com/feed/update/urn:li:activity:16,image
2026-02-23,"Stop ghostwriting bland LinkedIn posts for your founders. Either help them find their voice or don't bother.",870,176,134,35900,https://www.linkedin.com/feed/update/urn:li:activity:17,text
2026-02-26,"The 2-line pitch that got us 14 pieces of coverage last quarter:

Line 1: A specific, contrarian observation about the market.
Line 2: Why our client is the proof point.

Try it.",623,98,105,24700,https://www.linkedin.com/feed/update/urn:li:activity:18,text
2026-03-02,"Media training is broken. Most of it teaches founders to dodge questions instead of answering them better.",456,88,71,18900,https://www.linkedin.com/feed/update/urn:li:activity:19,text
2026-03-05,"How to build a media list in 30 minutes:

1. Search the topic on Google News
2. Note every journalist who's written 2+ pieces in the last 90 days
3. Find them on Muck Rack or LinkedIn
4. Read their last 5 articles before pitching

Quality over volume. Always.",712,134,168,28400,https://www.linkedin.com/feed/update/urn:li:activity:20,text
2026-03-08,"Quick poll: what's your biggest PR challenge right now?",112,67,4,7200,https://www.linkedin.com/feed/update/urn:li:activity:21,text
2026-03-11,"The hardest part of PR isn't getting coverage. It's getting the right coverage that moves the business.",389,52,46,15600,https://www.linkedin.com/feed/update/urn:li:activity:22,text
2026-03-14,"Founders: your story doesn't need to be polished. It needs to be true. Journalists can smell a sanitised narrative from a mile away.",534,87,68,21100,https://www.linkedin.com/feed/update/urn:li:activity:23,text
2026-03-17,"3 hooks that consistently outperform on LinkedIn for our clients:

1. ""I was wrong about [X]""
2. ""[Number] [things] nobody tells you about [topic]""
3. ""Stop doing [common practice]""

Use them. Don't overthink.",978,189,234,39800,https://www.linkedin.com/feed/update/urn:li:activity:24,text
2026-03-20,"Friday observation: the agencies winning right now are the ones treating content as the campaign, not the by-product.",287,38,41,12400,https://www.linkedin.com/feed/update/urn:li:activity:25,text
2026-03-23,"Why your press release isn't getting picked up:

It reads like a press release.

Write it as a story. Lead with the conflict. Quote a human. Cut every adjective. Cut it again.",612,108,93,24300,https://www.linkedin.com/feed/update/urn:li:activity:26,text
2026-03-26,"Just wrapped a great session with the team on Q2 storytelling priorities. Excited for what's coming.",68,9,3,3700,https://www.linkedin.com/feed/update/urn:li:activity:27,text
2026-03-29,"Unpopular opinion: most PR awards don't matter. The campaign that quietly moved the needle for the business is the real win.",845,167,128,34500,https://www.linkedin.com/feed/update/urn:li:activity:28,text
2026-04-01,"5 LinkedIn post formats that work for founders in 2026:

1. The contrarian take
2. The numbered list
3. The behind-the-scenes story
4. The lesson from a mistake
5. The 2-line punchy observation

Rotate them. Don't lean on one.",732,141,178,29800,https://www.linkedin.com/feed/update/urn:li:activity:29,text
2026-04-04,"PR isn't dying. Bad PR is dying. There's a difference.",1320,267,312,54200,https://www.linkedin.com/feed/update/urn:li:activity:30,text
